Title,Description,Director,Actors,Entidades
Chappie,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",Neill Blomkamp,"Sharlto Copley, Dev Patel, Hugh Jackman,Sigourney Weaver","['chappie', 'neill blomkamp', 'sharlto copley', 'dev patel', 'hugh jackman,sigourney weaver']"
The Hobbit: The Desolation of Smaug,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage,Ken Stott","['gandalf the grey', 'the dwarves', 'erebor', 'bilbo baggins', 'smaug', 'peter jackson', 'ian mckellen', 'martin freeman', 'richard armitage,ken stott']"
Half of a Yellow Sun,"Sisters Olanna and Kainene return home to 1960s Nigeria, where they soon diverge on different paths. As civil war breaks out, political events loom larger than their differences as they join the fight to establish an independent republic.",Biyi Bandele,"Chiwetel Ejiofor, Thandie Newton, Anika Noni Rose,Joseph Mawle","['kainene', 'olanna', 'civil war', 'political events', 'nigeria', '1960s', 'biyi bandele', 'chiwetel ejiofor', 'thandie newton', 'anika noni rose,joseph mawle']"
Anthropoid,"Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.",Sean Ellis,"Jamie Dornan, Cillian Murphy, Brian Caspe, Karel Hermánek Jr.","['himmler', 'final solution', 'operation anthropoid', 'hitler', 'reinhard heydrich', 'wwii', 'sean ellis', 'jamie dornan', 'cillian murphy', 'brian caspe', 'karel hermanek jr.']"
The Counselor,A lawyer finds himself in over his head when he gets involved in drug trafficking.,Ridley Scott,"Michael Fassbender, Penélope Cruz, Cameron Diaz,Javier Bardem","['a lawyer', 'ridley scott', 'michael fassbender', 'penelope cruz', 'cameron diaz,javier bardem']"
Viking,"Kievan Rus, late 10th century. After the death of his father, the young Viking prince Vladimir of Novgorod is forced into exile across the frozen sea.",Andrey Kravchuk,"Anton Adasinsky, Aleksandr Armer, Vilen Babichev, Rostislav Bershauer","['late 10th century', 'kievan rus', 'andrey kravchuk', 'anton adasinsky', 'aleksandr armer', 'vilen babichev', 'rostislav bershauer']"
Whiskey Tango Foxtrot,A journalist recounts her wartime coverage in Afghanistan.,Glenn Ficarra,"Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina","['afghanistan', 'a journalist', 'glenn ficarra', 'tina fey', 'margot robbie', 'martin freeman', 'alfred molina']"
Trust,A teenage girl is targeted by an online sexual predator.,David Schwimmer,"Clive Owen, Catherine Keener, Liana Liberato,Jason Clarke","['a teenage girl', 'david schwimmer', 'clive owen', 'catherine keener', 'liana liberato,jason clarke']"
Birth of the Dragon,"Young, up-and-coming martial artist, Bruce Lee, challenges legendary kung fu master Wong Jack Man to a no-holds-barred fight in Northern California.",George Nolfi,"Billy Magnussen, Terry Chen, Teresa Navarro,Vanessa Ross","['bruce lee', 'northern california', 'wong jack man', 'george nolfi', 'billy magnussen', 'terry chen', 'teresa navarro,vanessa ross']"
Elysium,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",Neill Blomkamp,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga","['ruined earth', 'a man', 'the very wealthy', 'year 2154', 'man-made space station', 'polarized worlds', 'neill blomkamp', 'matt damon', 'jodie foster', 'sharlto copley', 'alice braga']"
The Green Inferno,"A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished.",Eli Roth,"Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton","['rain forest', 'a group of student activists', 'amazon', 'eli roth', 'lorenza izzo', 'ariel levy', 'aaron burns', 'kirby bliss blanton']"
Godzilla,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe","['world', 'one of them', 'gareth edwards', 'aaron taylor-johnson', 'elizabeth olsen', 'bryan cranston', 'ken watanabe']"
The Bourne Legacy,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.",Tony Gilroy,"Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn","['new hero', 'robert ludlum', 'novels', 'tony gilroy', 'jeremy renner', 'rachel weisz', 'edward norton', 'scott glenn']"
A Good Year,"A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.",Ridley Scott,"Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard","['a british investment broker', 'his uncle', 'provence', 'he', 'ridley scott', 'russell crowe', 'abbie cornish', 'albert finney', 'marion cotillard']"
Friend Request,"When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends.",Simon Verhoeven,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan","['simon verhoeven', 'alycia debnam-carey', 'william moseley', 'connor paolo', 'brit morgan']"
Deja Vu,"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.",Tony Scott,"Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer","['new orleans', 'a.t.f. agent', 'bomber', 'tony scott', 'denzel washington', 'paula patton', 'jim caviezel', 'val kilmer']"
Lucy,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi,Amr Waked","['a woman', 'merciless warrior', 'dark deal', 'luc besson', 'scarlett johansson', 'morgan freeman', 'min-sik choi,amr waked']"
A Quiet Passion,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",Terence Davies,"Cynthia Nixon, Jennifer Ehle, Duncan Duff, Keith Carradine","['early days', 'american', 'later years', 'emily dickinson', 'terence davies', 'cynthia nixon', 'jennifer ehle', 'duncan duff', 'keith carradine']"
Need for Speed,"Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins.",Scott Waugh,"Aaron Paul, Dominic Cooper, Imogen Poots, Scott Mescudi","['street racer', 'wealthy business associate', 'ex-partner', 'scott waugh', 'aaron paul', 'dominic cooper', 'imogen poots', 'scott mescudi']"
Jack Reacher,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,Christopher McQuarrie,"Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog","['a homicide investigator', 'christopher mcquarrie', 'tom cruise', 'rosamund pike', 'richard jenkins', 'werner herzog']"
The Do-Over,"Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.",Steven Brill,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn","['two down-on-their-luck guys', 'steven brill', 'adam sandler', 'david spade', 'paula patton', 'kathryn hahn']"
True Crimes,"A murder investigation of a slain business man turns to clues found in an author's book about an eerily similar crime. Based on the 2008 article ""True Crimes - A postmodern murder mystery"" by David Grann.",Alexandros Avranas,"Jim Carrey, Charlotte Gainsbourg, Marton Csokas, Kati Outinen","['2008', 'david grann', 'true crimes', 'postmodern', 'alexandros avranas', 'jim carrey', 'charlotte gainsbourg', 'marton csokas', 'kati outinen']"
American Pastoral,An All-American college star and his beauty queen wife watch their seemingly perfect life fall apart as their daughter joins the turmoil of '60s America.,Ewan McGregor,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert","['turmoil', 'an all-american college star', 'ewan mcgregor', 'ewan mcgregor', 'jennifer connelly', 'dakota fanning', 'peter riegert']"
The Ghost Writer,A ghostwriter hired to complete the memoirs of a former British prime minister uncovers secrets that put his own life in jeopardy.,Roman Polanski,"Ewan McGregor, Pierce Brosnan, Olivia Williams,Jon Bernthal","['memoirs', 'a ghostwriter', 'former british prime minister', 'roman polanski', 'ewan mcgregor', 'pierce brosnan', 'olivia williams,jon bernthal']"
Limitless,"With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.",Neil Burger,"Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro","['financial wizard', 'new world', 'struggling writer', 'neil burger', 'bradley cooper', 'anna friel', 'abbie cornish', 'robert de niro']"
Spectral,A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood,Max Martini","['thriller', 'sci-fi', 'nic mathieu', 'james badge dale', 'emily mortimer', 'bruce greenwood,max martini']"
P.S. I Love You,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,Richard LaGravenese,"Hilary Swank, Gerard Butler, Harry Connick Jr., Lisa Kudrow","['a young widow', 'late husband', 'richard lagravenese', 'hilary swank', 'gerard butler', 'harry connick jr.', 'lisa kudrow']"
Zipper,A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.,Mora Stephens,"Patrick Wilson, Lena Headey, Ray Winstone,Richard Dreyfuss","['a successful family man', 'mora stephens', 'patrick wilson', 'lena headey', 'ray winstone,richard dreyfuss']"
Midnight Special,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.",Jeff Nichols,"Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver","['a father and son', 'jeff nichols', 'michael shannon', 'joel edgerton', 'kirsten dunst', 'adam driver']"
Don't Think Twice,"When a member of a popular New York City improv troupe gets a huge break, the rest of the group - all best friends - start to realize that not everyone is going to make it after all.",Mike Birbiglia,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia,Chris Gethard","['new york city', 'mike birbiglia', 'keegan-michael key', 'gillian jacobs', 'mike birbiglia,chris gethard']"
Alice in Wonderland,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",Tim Burton,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway","['alice', 'magical world', 'reign of terror', 'tim burton', 'mia wasikowska', 'johnny depp', 'helena bonham carter,anne hathaway']"
Chuck,A drama inspired by the life of heavyweight boxer Chuck Wepner.,Philippe Falardeau,"Elisabeth Moss, Naomi Watts, Ron Perlman, Liev Schreiber","['a drama', 'philippe falardeau', 'elisabeth moss', 'naomi watts', 'ron perlman', 'liev schreiber']"
"I, Daniel Blake","After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",Ken Loach,"Dave Johns, Hayley Squires, Sharon Percy, Briana Shann","['59-year-old carpenter', 'ken loach', 'dave johns', 'hayley squires', 'sharon percy', 'briana shann']"
The Break-Up,"In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment.",Peyton Reed,"Jennifer Aniston, Vince Vaughn, Jon Favreau, Joey Lauren Adams","['significant other', 'a couple', 'peyton reed', 'jennifer aniston', 'vince vaughn', 'jon favreau', 'joey lauren adams']"
Loving,"The story of Richard and Mildred Loving, a couple whose arrest for interracial marriage in 1960s Virginia began a legal battle that would end with the Supreme Court's historic 1967 decision.",Jeff Nichols,"Ruth Negga, Joel Edgerton, Will Dalton, Dean Mumford","['1960s virginia', 'jeff nichols', 'ruth negga', 'joel edgerton', 'will dalton', 'dean mumford']"
Fantastic Four,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,Josh Trank,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell","['earth', 'four young outsiders', 'universe', 'former friend', 'josh trank', 'miles teller', 'kate mara', 'michael b. jordan', 'jamie bell']"
The Survivalist,"In a time of starvation, a survivalist lives off a small plot of land hidden deep in forest. When two women seeking food and shelter discover his farm, he finds his existence threatened.",Stephen Fingleton,"Mia Goth, Martin McCann, Barry Ward, Andrew Simpson","['small plot of land', 'forest', 'survivalist', 'he', 'farm', 'stephen fingleton', 'mia goth', 'martin mccann', 'barry ward', 'andrew simpson']"
Colonia,"A young woman's desperate search for her abducted boyfriend that draws her into the infamous Colonia Dignidad, a sect nobody has ever escaped from.",Florian Gallenberger,"Emma Watson, Daniel Brühl, Michael Nyqvist,Richenda Carey","['colonia dignidad', 'a young woman', 'florian gallenberger', 'emma watson', 'daniel bruhl', 'michael nyqvist,richenda carey']"
The Boy Next Door,"A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",Rob Cohen,"Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett","['younger man', 'a woman', 'unfaithful husband', 'next door', 'rob cohen', 'jennifer lopez', 'ryan guzman', 'kristin chenoweth', 'john corbett']"
The Gift,A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman","['acquaintance', 'joel edgerton', 'jason bateman', 'rebecca hall', 'joel edgerton', 'allison tolman']"
Dracula Untold,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.",Gary Shore,"Luke Evans, Dominic Cooper, Sarah Gadon, Art Parkinson","['kingdom', 'young prince vlad tepes', 'turks', 'gary shore', 'luke evans', 'dominic cooper', 'sarah gadon', 'art parkinson']"
In the Heart of the Sea,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.",Ron Howard,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson,Ben Whishaw","['1820', 'moby-dick', 'new england', 'ron howard', 'chris hemsworth', 'cillian murphy', 'brendan gleeson,ben whishaw']"
Idiocracy,"Private Joe Bauers, the definition of ""average American"", is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten, he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive.",Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews","['private joe bauers', 'five centuries', 'pentagon', 'society', 'mike judge', 'luke wilson', 'maya rudolph', 'dax shepard', 'terry crews']"
The Expendables,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","['renegade cia agent', 'cia operative', 'sylvester stallone', 'sylvester stallone', 'jason statham', 'jet li', 'dolph lundgren']"
Evil Dead,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.",Fede Alvarez,"Jane Levy, Shiloh Fernandez, Jessica Lucas, Lou Taylor Pucci","['remote cabin', 'book of the dead', 'fede alvarez', 'jane levy', 'shiloh fernandez', 'jessica lucas', 'lou taylor pucci']"
Sinister,Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.,Scott Derrickson,"Ethan Hawke, Juliet Rylance, James Ransone,Fred Dalton Thompson","['murder', '1960s', 'serial killer', 'ellison oswalt', 'scott derrickson', 'ethan hawke', 'juliet rylance', 'james ransone,fred dalton thompson']"
Wreck-It Ralph,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman","['arcade', 'hero', 'a video game villain', 'rich moore', 'john c. reilly', 'jack mcbrayer', 'jane lynch', 'sarah silverman']"
Snow White and the Huntsman,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.",Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin","['snow white', 'huntsman', 'fairy tale', 'the evil queen', 'woods', 'rupert sanders', 'kristen stewart', 'chris hemsworth', 'charlize theron', 'sam claflin']"
Pan,"12-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be forever known as Peter Pan.",Joe Wright,"Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara","['peter', 'neverland', 'peter pan', 'joe wright', 'levi miller', 'hugh jackman', 'garrett hedlund', 'rooney mara']"
Transformers: Dark of the Moon,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel","['moon', 'michael bay', 'shia labeouf', 'rosie huntington-whiteley', 'tyrese gibson', 'josh duhamel']"
Juno,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.",Jason Reitman,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman","['offbeat young woman', 'jason reitman', 'ellen page', 'michael cera', 'jennifer garner', 'jason bateman']"
A Hologram for the King,A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.,Tom Tykwer,"Tom Hanks, Sarita Choudhury, Ben Whishaw,Alexander Black","['saudi arabia', 'a failed american sales rep', 'tom tykwer', 'tom hanks', 'sarita choudhury', 'ben whishaw,alexander black']"
Money Monster,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,Jodie Foster,"George Clooney, Julia Roberts, Jack O'Connell,Dominic West","['financial', 'lee gates', 'tv', 'patty', 'jodie foster', 'george clooney', 'julia roberts', ""jack o'connell,dominic west""]"
The Other Woman,"After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.",Nick Cassavetes,"Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau","['carly', 's.o.b.', 'nick cassavetes', 'cameron diaz', 'leslie mann', 'kate upton', 'nikolaj coster-waldau']"
Enchanted,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil queen, where she falls in love with a lawyer.",Kevin Lima,"Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey","['a young maiden', 'new york city', 'lawyer', 'andalasia', 'evil queen', 'kevin lima', 'amy adams', 'susan sarandon', 'james marsden', 'patrick dempsey']"
The Intern,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo,Anders Holm","['ben whittaker', 'online fashion site', 'jules ostin', 'nancy meyers', 'robert de niro', 'anne hathaway', 'rene russo,anders holm']"
Little Miss Sunshine,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,Jonathan Dayton,"Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin","['beauty pageant', 'young daughter', 'jonathan dayton', 'steve carell', 'toni collette', 'greg kinnear', 'abigail breslin']"
Bleed for This,"The inspirational story of World Champion Boxer Vinny Pazienza who, after a near fatal car crash which left him not knowing if he'd ever walk again, made one of sport's most incredible comebacks.",Ben Younger,"Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds","['sport', 'vinny pazienza', 'ben younger', 'miles teller', 'aaron eckhart', 'katey sagal', 'ciaran hinds']"
Clash of the Titans,"Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.",Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng","['heaven', 'zeus', 'earth', 'underworld', 'perseus demigod', 'louis leterrier', 'sam worthington', 'liam neeson', 'ralph fiennes,jason flemyng']"
The Finest Hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,Craig Gillespie,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana","['1952', 'cape cod', 'blizzard', 'craig gillespie', 'chris pine', 'casey affleck', 'ben foster', 'eric bana']"
Tron,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner","['unique ally', 'the son of a virtual world designer goes looking for his father', 'his father', 'digital world', 'joseph kosinski', 'jeff bridges', 'garrett hedlund', 'olivia wilde', 'bruce boxleitner']"
The Hunger Games: Catching Fire,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman","['74th hunger games', 'capitol', 'peeta mellark', 'districts of panem', 'katniss everdeen', 'francis lawrence', 'jennifer lawrence', 'josh hutcherson', 'liam hemsworth', 'philip seymour hoffman']"
All Good Things,"Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed.",Andrew Jarecki,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe","['1982', 'mr. david marks', 'katie', 'andrew jarecki', 'ryan gosling', 'kirsten dunst', 'frank langella', 'lily rabe']"
Kickboxer: Vengeance,A kick boxer is out to avenge his brother.,John Stockwell,"Dave Bautista, Alain Moussi, Gina Carano, Jean-Claude Van Damme","['john stockwell', 'dave bautista', 'alain moussi', 'gina carano', 'jean-claude van damme']"
The Last Airbender,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",M. Night Shyamalan,"Noah Ringer, Nicola Peltz, Jackson Rathbone,Dev Patel","['water tribes', 'fire nation', 'earth kingdom', 'aang', 'm. night shyamalan', 'noah ringer', 'nicola peltz', 'jackson rathbone,dev patel']"
Sex Tape,"A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts.",Jake Kasdan,"Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper","['a married couple', 'jake kasdan', 'jason segel', 'cameron diaz', 'rob corddry', 'ellie kemper']"
What to Expect When You're Expecting,"Follows the lives of five interconnected couples as they experience the thrills and surprises of having a baby, and realize that no matter what you plan for, life does not always deliver what is expected.",Kirk Jones,"Cameron Diaz, Matthew Morrison, J. Todd Smith, Dennis Quaid","['kirk jones', 'cameron diaz', 'matthew morrison', 'j. todd smith', 'dennis quaid']"
Moneyball,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Bennett Miller,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman","['oakland a', 'billy beane', 'bennett miller', 'brad pitt', 'robin wright', 'jonah hill', 'philip seymour hoffman']"
Ghost Rider,"Stunt motorcyclist Johnny Blaze gives up his soul to become a hellblazing vigilante, to fight against power hungry Blackheart, the son of the devil himself.",Mark Steven Johnson,"Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long","['blackheart', 'johnny blaze', 'mark steven johnson', 'nicolas cage', 'eva mendes', 'sam elliott', 'matt long']"
Unbroken,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",Angelina Jolie,"Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund","['wwii', 'raft', 'prisoner-of-war camp', 'japanese navy', 'louis zamperini', 'angelina jolie', ""jack o'connell"", 'miyavi', 'domhnall gleeson', 'garrett hedlund']"
Immortals,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",Tarsem Singh,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff","['theseus', 'zeus', 'greece', 'hyperion', 'tarsem singh', 'henry cavill', 'mickey rourke', 'john hurt', 'stephen dorff']"
Sunshine,A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,Danny Boyle,"Cillian Murphy, Rose Byrne, Chris Evans, Michelle Yeoh","['2057', 'danny boyle', 'cillian murphy', 'rose byrne', 'chris evans', 'michelle yeoh']"
Brave,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",Mark Andrews,"Kelly Macdonald,Billy Connolly, Emma Thompson, Julie Walters","['princess merida', 'kingdom', 'merida', 'mark andrews', 'kelly macdonald,billy connolly', 'emma thompson', 'julie walters']"
Män som hatar kvinnor,A journalist is aided in his search for a woman who has been missing -- or dead -- for forty years by a young female hacker.,Niels Arden Oplev,"Michael Nyqvist, Noomi Rapace, Ewa Fröling,Lena Endre","['woman', 'young female hacker', 'a journalist', 'niels arden oplev', 'michael nyqvist', 'noomi rapace', 'ewa froling,lena endre']"
Adoration,A pair of childhood friends and neighbors fall for each other's sons.,Anne Fontaine,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville","['anne fontaine', 'naomi watts', 'robin wright', 'xavier samuel', 'james frecheville']"
The Drop,"Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.",Michaël R. Roskam,"Tom Hardy, Noomi Rapace, James Gandolfini,Matthias Schoenaerts","['past', 'robbery', 'neighborhood', 'bob saginowski', 'michael r. roskam', 'tom hardy', 'noomi rapace', 'james gandolfini,matthias schoenaerts']"
She's the Man,"When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for one of his soccer teammates, and soon learns she's not the only one with romantic troubles.",Andy Fickman,"Amanda Bynes, Laura Ramsey, Channing Tatum,Vinnie Jones","['elite boarding school', 'viola', 'andy fickman', 'amanda bynes', 'laura ramsey', 'channing tatum,vinnie jones']"
Daddy's Home,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.",Sean Anders,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church","['dusty mayron', 'brad whitaker', 'sean anders', 'will ferrell', 'mark wahlberg', 'linda cardellini', 'thomas haden church']"
Let Me In,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,Matt Reeves,"Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono","['a bullied young boy', 'young female vampire', 'matt reeves', 'kodi smit-mcphee', 'chloe grace moretz', 'richard jenkins', 'cara buono']"
Never Back Down,A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.,Jeff Wadlow,"Sean Faris, Djimon Hounsou, Amber Heard, Cam Gigandet","['underground fight club', 'classmate', 'a frustrated and conflicted teenager', 'new high school', 'jeff wadlow', 'sean faris', 'djimon hounsou', 'amber heard', 'cam gigandet']"
Grimsby,A new assignment forces a top spy to team up with his football hooligan brother.,Louis Leterrier,"Sacha Baron Cohen, Mark Strong, Rebel Wilson,Freddie Crowder","['louis leterrier', 'sacha baron cohen', 'mark strong', 'rebel wilson,freddie crowder']"
Moon,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",Duncan Jones,"Sam Rockwell, Kevin Spacey, Dominique McElligott,Rosie Shaw","['sam bell', 'moon', 'earth', 'gerty', 'duncan jones', 'sam rockwell', 'kevin spacey', 'dominique mcelligott,rosie shaw']"
