Title,Description,Director,Actors,Entidades
The Three Musketeers,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,Paul W.S. Anderson,"Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich","['beautiful double agent', 'europe', ""d'artagnan"", 'war', 'french throne', 'paul w.s. anderson', 'logan lerman', 'matthew macfadyen', 'ray stevenson', 'milla jovovich']"
Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn,"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen","['countryside town', 'young man', 'fallen star', 'magical realm', 'magical land', 'matthew vaughn', 'charlie cox', 'claire danes', 'sienna miller', 'ian mckellen']"
American Hustle,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",David O. Russell,"Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence","['sydney prosser', 'irving rosenfeld', 'richie dimaso', 'david o. russell', 'christian bale', 'amy adams', 'bradley cooper,jennifer lawrence']"
Jennifer's Body,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,Karyn Kusama,"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons","['a newly possessed high school cheerleader', 'succubus', 'karyn kusama', 'megan fox', 'amanda seyfried', 'adam brody', 'johnny simmons']"
Midnight in Paris,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.",Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller","['screenwriter', '1920s', 'paris', 'woody allen', 'owen wilson', 'rachel mcadams', 'kathy bates', 'kurt fuller']"
Lady Macbeth,"Set in 19th century rural England, young bride who has been sold into marriage to a middle-aged man discovers an unstoppable desire within herself as she enters into an affair with a work on her estate.",William Oldroyd,"Florence Pugh, Christopher Fairbank, Cosmo Jarvis, Naomi Ackie","['19th century', 'middle-aged man', 'young bride', 'england', 'william oldroyd', 'florence pugh', 'christopher fairbank', 'cosmo jarvis', 'naomi ackie']"
Joy,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez","['joy', 'david o. russell', 'jennifer lawrence', 'robert de niro', 'bradley cooper', 'edgar ramirez']"
The Dressmaker,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong.",Jocelyn Moorhouse,"Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving","['a glamorous woman', 'haute couture style', 'small town', 'australia', 'she', 'jocelyn moorhouse', 'kate winslet', 'judy davis', 'liam hemsworth,hugo weaving']"
Cafe Society,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",Woody Allen,"Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively","['hollywood', 'married man', 'bronx', 'young woman', '1930s', 'woody allen', 'jesse eisenberg', 'kristen stewart', 'steve carell', 'blake lively']"
Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Robert Schwentke,"Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet","['beatrice prior', 'robert schwentke', 'shailene woodley', 'ansel elgort', 'theo james,kate winslet']"
Seventh Son,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",Sergei Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander","['mother malkin', 'spook', 'pit', 'young tom', 'sergei bodrov', 'ben barnes', 'julianne moore', 'jeff bridges', 'alicia vikander']"
Demain tout commence,Samuel parties hard in the Marseille area of France and is awoken one morning by a woman carrying a baby she claims is his. She drives off leaving him with a wailing infant; he gives chase ... See full summary »,Hugo Gélin,"Omar Sy, Clémence Poésy, Antoine Bertrand, Ashley Walters","['samuel', 'marseille area', 'woman', 'france', 'she', 'hugo gelin', 'omar sy', 'clemence poesy', 'antoine bertrand', 'ashley walters']"
The Theory of Everything,A look at the relationship between the famous physicist Stephen Hawking and his wife.,James Marsh,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry","['stephen hawking', 'james marsh', 'eddie redmayne', 'felicity jones', 'tom prior', 'sophie perry']"
This Is the End,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse.",Evan Goldberg,"James Franco, Jonah Hill, Seth Rogen,Jay Baruchel","['james franco', 'biblical apocalypse', 'seth rogen', 'jay baruchel', 'evan goldberg', 'james franco', 'jonah hill', 'seth rogen,jay baruchel']"
About Time,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy,Lydia Wilson","['world', 'tim', 'richard curtis', 'domhnall gleeson', 'rachel mcadams', 'bill nighy,lydia wilson']"
Step Brothers,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,Adam McKay,"Will Ferrell, John C. Reilly, Mary Steenburgen,Richard Jenkins","['home', 'two aimless middle-aged losers', 'adam mckay', 'will ferrell', 'john c. reilly', 'mary steenburgen,richard jenkins']"
Clown,"A loving father finds a clown suit for his son's birthday party, only to realize that it is not a suit at all.",Jon Watts,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano","['birthday party', 'a loving father', 'son', 'jon watts', 'andy powers', 'laura allen', 'peter stormare', 'christian distefano']"
Star Trek Into Darkness,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch","['captain kirk', 'war-zone world', 'j.j. abrams', 'chris pine', 'zachary quinto', 'zoe saldana', 'benedict cumberbatch']"
Zombieland,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson,Abigail Breslin","['ohio', 'twinkie', 'shy student', 'america', 'gun-toting tough guy', 'pair of sisters', 'ruben fleischer', 'jesse eisenberg', 'emma stone', 'woody harrelson,abigail breslin']"
"Hail, Caesar!",A Hollywood fixer in the 1950s works to keep the studio's stars in line.,Ethan Coen,"Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes","['1950s', 'hollywood', 'ethan coen', 'josh brolin', 'george clooney', 'alden ehrenreich', 'ralph fiennes']"
Slumdog Millionaire,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?""",Danny Boyle,"Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor","['slums', 'mumbai', 'danny boyle', 'dev patel', 'freida pinto', 'saurabh shukla', 'anil kapoor']"
The Twilight Saga: Breaking Dawn - Part 2,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","['cullens', 'renesmee', 'bill condon', 'kristen stewart', 'robert pattinson', 'taylor lautner', 'peter facinelli']"
